"year","month","time","spi1","spi2","spi3","spi4","spi5","spi6","spi7","spi8","spi9","spi10","spi11","spi12"
1515,5,1515.45833333333,0,1.340387,2.651575,3.144116,3.948658,3.198723,3.901788,4.515356,4.780978,4.49882,4.007483,3.811136
1515,6,1515.54166666667,3,2.010581,2.651575,3.593275,3.948658,4.620378,3.901788,4.515356,5.062212,5.29273,5.009353,4.525724
1515,7,1515.625,3,4.021161,3.18189,3.593275,4.343523,4.620378,5.202384,4.515356,5.062212,5.557366,5.760756,5.478507
1515,8,1515.70833333333,3,4.021161,4.772835,4.042435,4.343523,4.975792,5.202384,5.719451,5.062212,5.557366,6.011224,6.193095
1515,9,1515.79166666667,-3,0,1.590945,2.694956,2.369195,2.84331,3.576639,3.913309,4.499744,3.969547,4.508418,5.002115
1515,10,1515.875,2,-0.670194,1.06063,2.245797,3.158926,2.84331,3.25149,3.913309,4.21851,4.763457,4.25795,4.763919
1515,11,1515.95833333333,3,3.350968,1.06063,2.245797,3.158926,3.909551,3.576639,3.913309,4.499744,4.763457,5.259821,4.763919
1515,12,1516.04166666667,0,2.010581,2.651575,0.898319,1.974329,2.84331,3.576639,3.311261,3.656042,4.234184,4.508418,5.002115
1516,1,1516.125,-3,-2.010581,0,0.898319,-0.394866,0.710827,1.625745,2.40819,2.249872,2.646365,3.25608,3.57294
1516,2,1516.20833333333,3,0,0,1.347478,1.974329,0.710827,1.625745,2.40819,3.093574,2.911001,3.25608,3.811136
1516,3,1516.29166666667,1,2.680774,0.530315,0.449159,1.579463,2.132482,0.975447,1.806142,2.531106,3.175638,3.005612,3.334744
1516,4,1516.375,-1,0,1.590945,0,0,1.066241,1.625745,0.602047,1.40617,2.117092,2.755144,2.620156
1516,5,1516.45833333333,-2,-2.010581,-1.06063,0.449159,-0.789732,-0.710827,0.325149,0.903071,0,0.793909,1.502806,2.143764
